Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
A2ZINFRA,Buy,14.66,14.4,13.39,15.28
ASAHISONG,Sell,252.66,256.0,290.39,231.85
AZAD,Sell,2057.1,2116.39990234375,2247.12,1963.47
CEIGALL,Sell,347.6,352.8999938964844,391.74,327.21
DHARMAJ,Sell,284.25,287.29998779296875,310.39,265.33
GALAPREC,Sell,944.35,945.0,988.35,848.16
GMBREW,Sell,946.25,949.0,998.1,898.36
HSCL,Sell,607.2,607.9000244140625,654.91,565.91
ICEMAKE,Sell,877.45,890.0,950.93,735.8
KENNAMET,Sell,2965.0,3051.0,3254.92,2850.7
KRBL,Sell,360.25,363.29998779296875,383.8,334.51
REDTAPE,Sell,139.26,152.68312004631713,164.29,123.34
SUNFLAG,Sell,391.85,396.8999938964844,426.62,361.46
