Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
ABSLAMC,Buy,1011.55,966.19,912.05,1007.1
AHLUCONT,Buy,789.7,789.6,738.58,813.04
BALUFORGE,Buy,469.45,464.0,430.53,526.37
CAMS,Buy,775.33,767.97,732.92,815.44
CINEVISTA,Sell,15.76,16.200000762939453,17.91,15.06
DEEPAKNTR,Buy,1797.59,1760.46,1639.59,1830.6
GHCL,Buy,443.35,441.3,413.98,492.79
GOCLCORP,Buy,296.0,289.0,271.97,327.9
HLEGLAS,Buy,308.75,304.5,275.0,325.18
IMAGICAA,Buy,43.4,42.0,38.05,45.3
INDOFARM,Buy,126.41,125.9,116.51,141.78
IRMENERGY,Buy,279.3,278.0,256.88,346.16
MANYAVAR,Buy,431.95,431.4,403.98,464.25
NURECA,Buy,276.45,272.9,254.99,290.56
PGEL,Buy,466.15,459.0,431.57,540.75
PRAJIND,Buy,381.68,359.97,336.38,403.08
QUADFUTURE,Buy,289.3,287.45,267.77,299.13
RGL,Buy,101.88,99.51,92.14,111.37
SJVN,Buy,74.56,73.5,67.76,77.38
VENTIVE,Buy,639.9,638.95,604.08,666.45
