Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
EKC,Sell,122.88,127.37000274658203,139.5,107.51
KSB,Sell,946.25,956.0,997.24,892.25
LEMONTREE,Sell,118.91,120.0,125.02,112.38
LINC,Sell,109.88,114.0,118.89,97.65
NCC,Sell,156.1,159.85000610351562,165.68,150.07
PGEL,Sell,562.4,568.4500122070312,598.83,531.45
PRECOT,Sell,725.85,764.7999877929688,830.42,687.92
PRIVISCL,Sell,3569.68,3671.395676607122,3821.45,3162.66
SHARDAMOTR,Sell,825.75,830.5,868.74,789.03
SPLPETRO,Sell,749.65,767.1057384054072,805.53,689.96
WAAREEINDO,Sell,408.25,418.6499938964844,456.18,386.56
WINDLAS,Sell,849.33,851.5661357909728,901.57,774.23
